year,city,country,avg_temp,avg_temp_global
1820,Xian,China,9.55,7.62
1821,Xian,China,11.12,8.09
1822,Xian,China,11.16,8.19
1823,Xian,China,11.76,7.72
1824,Xian,China,,8.55
1825,Xian,China,,8.39
1826,Xian,China,,8.36
1827,Xian,China,,8.81
1828,Xian,China,,8.17
1829,Xian,China,,7.94
1830,Xian,China,,8.52
1831,Xian,China,,7.64
1832,Xian,China,,7.45
1833,Xian,China,,8.01
1834,Xian,China,,8.15
1835,Xian,China,,7.39
1836,Xian,China,,7.70
1837,Xian,China,21.19,7.38
1838,Xian,China,,7.51
1839,Xian,China,,7.63
1840,Xian,China,10.81,7.80
1841,Xian,China,10.26,7.69
1842,Xian,China,11.05,8.02
1843,Xian,China,11.12,8.17
1844,Xian,China,11.01,7.65
1845,Xian,China,10.91,7.85
1846,Xian,China,11.49,8.55
1847,Xian,China,11.24,8.09
1848,Xian,China,10.79,7.98
1849,Xian,China,10.94,7.98
1850,Xian,China,10.76,7.90
1851,Xian,China,10.70,8.18
1852,Xian,China,10.73,8.10
1853,Xian,China,11.05,8.04
1854,Xian,China,11.29,8.21
1855,Xian,China,11.20,8.11
1856,Xian,China,10.89,8.00
1857,Xian,China,10.91,7.76
1858,Xian,China,11.14,8.10
1859,Xian,China,11.38,8.25
1860,Xian,China,10.50,7.96
1861,Xian,China,10.69,7.85
1862,Xian,China,10.14,7.56
1863,Xian,China,11.15,8.11
1864,Xian,China,10.50,7.98
1865,Xian,China,11.14,8.18
1866,Xian,China,11.28,8.29
1867,Xian,China,10.43,8.44
1868,Xian,China,11.36,8.25
1869,Xian,China,11.59,8.43
1870,Xian,China,11.11,8.20
1871,Xian,China,11.36,8.12
1872,Xian,China,11.35,8.19
1873,Xian,China,11.58,8.35
1874,Xian,China,11.41,8.43
1875,Xian,China,11.25,7.86
1876,Xian,China,11.40,8.08
1877,Xian,China,10.92,8.54
1878,Xian,China,11.22,8.83
1879,Xian,China,11.43,8.17
1880,Xian,China,10.85,8.12
1881,Xian,China,11.23,8.27
1882,Xian,China,11.28,8.13
1883,Xian,China,10.85,7.98
1884,Xian,China,10.54,7.77
1885,Xian,China,10.58,7.92
1886,Xian,China,10.86,7.95
1887,Xian,China,10.91,7.91
1888,Xian,China,10.95,8.09
1889,Xian,China,11.00,8.32
1890,Xian,China,11.44,7.97
1891,Xian,China,11.42,8.02
1892,Xian,China,11.04,8.07
1893,Xian,China,10.95,8.06
1894,Xian,China,11.44,8.16
1895,Xian,China,10.83,8.15
1896,Xian,China,11.15,8.21
1897,Xian,China,11.01,8.29
1898,Xian,China,11.50,8.18
1899,Xian,China,11.36,8.40
1900,Xian,China,11.14,8.50
1901,Xian,China,11.28,8.54
1902,Xian,China,11.83,8.30
1903,Xian,China,11.05,8.22
1904,Xian,China,11.23,8.09
1905,Xian,China,10.39,8.23
1906,Xian,China,10.92,8.38
1907,Xian,China,11.31,7.95
1908,Xian,China,11.05,8.19
1909,Xian,China,11.23,8.18
1910,Xian,China,10.75,8.22
1911,Xian,China,10.80,8.18
1912,Xian,China,10.77,8.17
1913,Xian,China,11.04,8.30
1914,Xian,China,11.75,8.59
1915,Xian,China,11.20,8.59
1916,Xian,China,10.96,8.23
1917,Xian,China,10.97,8.02
1918,Xian,China,10.72,8.13
1919,Xian,China,11.64,8.38
1920,Xian,China,11.69,8.36
1921,Xian,China,11.25,8.57
1922,Xian,China,11.73,8.41
1923,Xian,China,11.64,8.42
1924,Xian,China,11.67,8.51
1925,Xian,China,11.50,8.53
1926,Xian,China,11.69,8.73
1927,Xian,China,11.89,8.52
1928,Xian,China,12.16,8.63
1929,Xian,China,11.65,8.24
1930,Xian,China,11.47,8.63
1931,Xian,China,11.62,8.72
1932,Xian,China,12.50,8.71
1933,Xian,China,11.88,8.34
1934,Xian,China,11.31,8.63
1935,Xian,China,11.68,8.52
1936,Xian,China,11.22,8.55
1937,Xian,China,11.51,8.70
1938,Xian,China,11.78,8.86
1939,Xian,China,12.16,8.76
1940,Xian,China,11.93,8.76
1941,Xian,China,12.61,8.77
1942,Xian,China,12.42,8.73
1943,Xian,China,11.82,8.76
1944,Xian,China,11.49,8.85
1945,Xian,China,12.18,8.58
1946,Xian,China,12.24,8.68
1947,Xian,China,11.99,8.80
1948,Xian,China,11.82,8.75
1949,Xian,China,11.80,8.59
1950,Xian,China,11.40,8.37
1951,Xian,China,11.48,8.63
1952,Xian,China,11.52,8.64
1953,Xian,China,12.03,8.87
1954,Xian,China,11.16,8.56
1955,Xian,China,11.70,8.63
1956,Xian,China,11.06,8.28
1957,Xian,China,11.58,8.73
1958,Xian,China,11.65,8.77
1959,Xian,China,11.92,8.73
1960,Xian,China,11.89,8.58
1961,Xian,China,12.03,8.80
1962,Xian,China,11.70,8.75
1963,Xian,China,11.48,8.86
1964,Xian,China,11.18,8.41
1965,Xian,China,11.82,8.53
1966,Xian,China,12.16,8.60
1967,Xian,China,10.96,8.70
1968,Xian,China,11.51,8.52
1969,Xian,China,11.47,8.60
1970,Xian,China,11.36,8.70
1971,Xian,China,11.52,8.60
1972,Xian,China,11.51,8.50
1973,Xian,China,12.23,8.95
1974,Xian,China,11.41,8.47
1975,Xian,China,11.55,8.74
1976,Xian,China,10.99,8.35
1977,Xian,China,12.04,8.85
1978,Xian,China,12.11,8.69
1979,Xian,China,12.05,8.73
1980,Xian,China,11.45,8.98
1981,Xian,China,11.56,9.17
1982,Xian,China,11.66,8.64
1983,Xian,China,11.32,9.03
1984,Xian,China,10.88,8.69
1985,Xian,China,11.32,8.66
1986,Xian,China,11.69,8.83
1987,Xian,China,12.26,8.99
1988,Xian,China,11.63,9.20
1989,Xian,China,11.48,8.92
1990,Xian,China,12.09,9.23
1991,Xian,China,11.79,9.18
1992,Xian,China,11.46,8.84
1993,Xian,China,11.17,8.87
1994,Xian,China,12.14,9.04
1995,Xian,China,12.25,9.35
1996,Xian,China,11.36,9.04
1997,Xian,China,12.50,9.20
1998,Xian,China,12.80,9.52
1999,Xian,China,12.70,9.29
2000,Xian,China,12.18,9.20
2001,Xian,China,12.43,9.41
2002,Xian,China,12.82,9.57
2003,Xian,China,11.90,9.53
2004,Xian,China,12.49,9.32
2005,Xian,China,12.24,9.70
2006,Xian,China,12.99,9.53
2007,Xian,China,12.77,9.73
2008,Xian,China,12.13,9.43
2009,Xian,China,12.53,9.51
2010,Xian,China,12.59,9.70
2011,Xian,China,12.08,9.52
2012,Xian,China,11.90,9.51
2013,Xian,China,14.46,9.61
